,E-waste Collection Points,Collection Type,Postal Code,Remarks,Website,Full,lat,lng,color,hover_text
275,FAIRPRICE @ BLK 66 YUNG KANG RD,Retailer E-bin,610063,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,"BLK 63/66 YUNG KUANG RD, BLK 66 YUNG KANG RD, #01-119 AND #02-119 SINGAPORE",1.3319818,103.7226418,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ BLK 66 YUNG KANG RD<br>Address:  BLK 63/66 YUNG KUANG RD, BLK 66 YUNG KANG RD, #01-119 AND #02-119 SINGAPORE<br>Latitude: 1.3319818<br>Longitude: 103.7226418"
276,FAIRPRICE @ BLK 71 KALLANG BAHRU,Retailer E-bin,330071,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,"71 KALLANG BAHRU, #01-529/#02-531 SINGAPORE",1.3209366,103.8705671,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ BLK 71 KALLANG BAHRU<br>Address:  71 KALLANG BAHRU, #01-529/#02-531 SINGAPORE<br>Latitude: 1.3209366<br>Longitude: 103.8705671"
277,FAIRPRICE @ BLK 712 ANG MO KIO,Retailer E-bin,560712,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,"BLK 712 ANG MO KIO AVE 6, BLK 712 ANG MO KIO, #01-4056 SINGAPORE",1.3714282,103.8471004,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ BLK 712 ANG MO KIO<br>Address:  BLK 712 ANG MO KIO AVE 6, BLK 712 ANG MO KIO, #01-4056 SINGAPORE<br>Latitude: 1.3714282<br>Longitude: 103.8471004"
278,FAIRPRICE @ BLK 745 BEDOK RESEVOIR RD,Retailer E-bin,470745,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,"745 BEDOK RESERVOIR RD #01-3015, #01-301 SINGAPORE",1.3372954,103.9217041,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ BLK 745 BEDOK RESEVOIR RD<br>Address:  745 BEDOK RESERVOIR RD #01-3015, #01-301 SINGAPORE<br>Latitude: 1.3372954<br>Longitude: 103.9217041"
279,FAIRPRICE @ BLK 866A TAMPINES ST 83,Retailer E-bin,521866,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,"866A TAMPINES ST 83, #01-01 SINGAPORE",1.3552288,103.9346613,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ BLK 866A TAMPINES ST 83<br>Address:  866A TAMPINES ST 83, #01-01 SINGAPORE<br>Latitude: 1.3552288<br>Longitude: 103.9346613"
280,FAIRPRICE @ BLK 888 WOODLANDS DR 50,Retailer E-bin,730888,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,"BLK 888 WOODLANDS DR 50, #01-757 SINGAPORE",1.4386407,103.7953453,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ BLK 888 WOODLANDS DR 50<br>Address:  BLK 888 WOODLANDS DR 50, #01-757 SINGAPORE<br>Latitude: 1.4386407<br>Longitude: 103.7953453"
281,FAIRPRICE @ BOON LAY SHOPPING CENTRE,Retailer E-bin,640221,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,"BLK 221 BOON LAY PLACE, BOON LAY SHOPPING CENTRE, #02-200 SINGAPORE",1.3463986,103.7125352,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ BOON LAY SHOPPING CENTRE<br>Address:  BLK 221 BOON LAY PLACE, BOON LAY SHOPPING CENTRE, #02-200 SINGAPORE<br>Latitude: 1.3463986<br>Longitude: 103.7125352"
282,FAIRPRICE @ BUKIT PANJANG PLAZA,Retailer E-bin,677743,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,"NO. 1 JELEBU RD, BUKIT PANJANG PLAZA, #01-15 & #02-20 SINGAPORE",1.3799623,103.7643089,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ BUKIT PANJANG PLAZA<br>Address:  NO. 1 JELEBU RD, BUKIT PANJANG PLAZA, #01-15 & #02-20 SINGAPORE<br>Latitude: 1.3799623<br>Longitude: 103.7643089"
283,FAIRPRICE @ BUKIT TIMAH PLAZA,Retailer E-bin,588996,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,"NO. 1 JLN ANAK BUKIT, BUKIT TIMAH PLAZA, #B1-01 & #B2-01 SINGAPORE",1.3381781,103.7782651,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ BUKIT TIMAH PLAZA<br>Address:  NO. 1 JLN ANAK BUKIT, BUKIT TIMAH PLAZA, #B1-01 & #B2-01 SINGAPORE<br>Latitude: 1.3381781<br>Longitude: 103.7782651"
284,FAIRPRICE @ CHANGI CITY POINT,Retailer E-bin,486038,E-waste accepted: Batteries and Lamps only,https://alba-ewaste.sg,"5 CHANGI BUSINESS PARK CENTRAL 1, CHANGI CITY POINT, #B1-09/10/11 SINGAPORE",1.3342732,103.9627387,#0000ff,"Retailer E-bin<br>E-waste Collection Points: FAIRPRICE @ CHANGI CITY POINT<br>Address:  5 CHANGI BUSINESS PARK CENTRAL 1, CHANGI CITY POINT, #B1-09/10/11 SINGAPORE<br>Latitude: 1.3342732<br>Longitude: 103.9627387"
